go jurong point crazy available bugis n great world la e buffet cine got amore wat,0.117,0.683,0.2,0.4019,0.20000000000000004,0.6833333333333332,ham
ok lar joking wif u oni,0.0,0.494,0.506,0.4767,0.5,0.5,ham
free entry wkly comp win fa cup final tkts st may text fa receive entry questionstd txt ratetcs apply over,0.0,0.717,0.283,0.7964,0.4000000000000001,0.7333333333333334,spam
u dun say early hor u c already say,0.0,1.0,0.0,0.0,0.1,0.3,ham
nah dont think go usf life around though,0.167,0.833,0.0,-0.1027,0.0,0.0,ham
freemsg hey darling week word back id like fun still tb ok xxx std chgs send rcv,0.0,0.524,0.476,0.8957,0.26666666666666666,0.2333333333333333,spam
even brother like speak treat like aid patent,0.0,0.394,0.606,0.7717,0.0,0.0,ham
per request melle melle oru minnaminunginte nurungu vettam set callertune caller press copy friend callertune,0.0,0.814,0.186,0.4939,0.0,0.0,ham
winner valued network customer selected receivea prize reward claim call claim code kl valid hour,0.0,0.445,0.555,0.9287,0.0,0.0,spam
mobile month u r entitled update latest colour mobile camera free call mobile update co free,0.0,0.599,0.401,0.8271,0.43333333333333335,0.8333333333333334,spam
im gon na home soon dont want talk stuff anymore tonight k ive cried enough today,0.214,0.786,0.0,-0.4257,0.0,0.5,ham
six chance win cash pound txt csh send cost pday day tsandcs apply reply hl info,0.0,0.707,0.293,0.7003,0.8,0.4,spam
urgent week free membership prize jackpot txt word claim tc lccltd pobox ldnwarw,0.0,0.543,0.457,0.8126,0.4,0.8,spam
ive searching right word thank breather promise wont take help granted fulfil promise wonderful blessing time,0.148,0.333,0.519,0.8751,0.6428571428571428,0.7678571428571428,ham
date sunday,0.0,1.0,0.0,0.0,0.0,0.0,ham
xxxmobilemovieclub use credit click wap link next txt message click xxxmobilemovieclubcomnqjkgighjjgcbl,0.0,0.794,0.206,0.3818,0.0,0.0,spam
oh kim watching,0.0,1.0,0.0,0.0,0.0,0.0,ham
eh u remember spell name yes v naughty make v wet,0.0,0.787,0.213,0.4019,-0.125,0.65,ham
fine thats way u feel thats way gota b,0.0,0.816,0.184,0.2023,0.4166666666666667,0.5,ham
england v macedonia dont miss goalsteam news txt ur national team eg england trywales scotland txtú poboxoxwwq,0.0,0.917,0.083,0.1139,0.0,0.0,spam
seriously spell name,0.459,0.541,0.0,-0.1779,-0.3333333333333333,0.6666666666666666,ham
im going try month ha ha joking,0.0,0.374,0.626,0.6908,0.0,0.0,ham
ü pay first lar da stock comin,0.189,0.811,0.0,-0.1027,0.25,0.3333333333333333,ham
aft finish lunch go str lor ard smth lor u finish ur lunch already,0.0,1.0,0.0,0.0,0.0,0.0,ham
ffffffffff alright way meet sooner,0.0,0.667,0.333,0.25,0.0,0.0,ham
